anio1,pibmx,anio2,oilproduction
1962,5.000000001,1992,2669
1963,4.664414673,1993,2673
1964,8.106886928,1994,2782.158904
1965,11.90548077,1995,2711.564384
1966,7.099999997,1996,2944.144809
1967,6.096139303,1997,3104.052055
1968,5.854924879,1998,3159.372603
1969,9.423278818,1999,2998.380822
1970,3.418620023,2000,3104.070492
1971,6.502484035,2001,3217.982137
1972,3.762467685,2002,3262.894795
1973,8.228807312,2003,3458.68137
1974,7.861119861,2004,3475.82541
1975,5.77682723,2005,3423.123562
1976,5.744485049,2006,3345.427945
1977,4.417444136,2007,3142.952877
1978,3.390639707,2008,2838.988798
1979,8.956942328,2009,2645.843288
1980,9.698170137,2010,2621.138904
1981,8.756622426,2011,2599.847348
1982,9.585841155,2012,2592.505464
1983,-0.049586366,2013,2561.857534
1984,-4.62412796,2014,2468.547945
1985,3.513413349,2015,2302.493151
1986,1.919215786,2016,2186.874317
1987,-3.929959908,2017,1981.084932
1988,2.063363226,2018,1851.775342
1989,1.218261229,,
1990,3.625448735,,
1991,5.250043299,,
1992,3.975904971,,
1993,3.568613544,,
1994,2.866999455,,
1995,4.394127888,,
1996,-5.910299624,,
1997,6.218297159,,
1998,7.198876153,,
1999,6.185078931,,
2000,2.755030393,,
2001,5.029283994,,
2002,-0.450845253,,
2003,-0.236588002,,
2004,1.185544867,,
2005,3.565441009,,
2006,2.113247126,,
2007,4.805013527,,
2008,2.077863934,,
2009,0.943331863,,
2010,-6.295250558,,
2011,4.971334583,,
2012,3.444045058,,
2013,3.55321076,,
2014,0.852101559,,
2015,2.503763503,,
2016,2.702323426,,
2017,1.772493238,,
2018,1.871728533,,
2019,1.972082102,,
2020,-0.392690522,,
2021,-8.354034557,,
2022,6.048483443,,
2023,3.689111093,,
2024,3.199981166,,
